lote,nivel,slot,japones,espanol,lecturas_kanji
2026-09-19 · 1.5M,N5,2124,空がきれいだから、星がよく見えます。,"Como el cielo está limpio, se ven bien las estrellas.",空 (そら) | 星 (ほし) | 見えます (みえます)
2026-09-19 · 1.5M,N5,2125,郵便局に行った後で勉強します。,"Después de ir a correos, estudiaré.",郵便局 (ゆうびんきょく) | 行った (いった) | 後で (あとで) | 勉強します (べんきょうします)
2026-09-19 · 1.5M,N5,2126,スマホはもう充電しました。,Ya he cargado el móvil.,充電しました (じゅうでんしました)
2026-09-19 · 1.5M,N5,2127,地域の集まりによく行きますか。,¿Vas a menudo a las reuniones del barrio?,地域 (ちいき) | 集まり (あつまり) | 行きます (いきます)
2026-09-19 · 1.5M,N5,2128,お祭りで友だちに三枚のチケットを渡しました。,Le di tres entradas a un amigo en el festival.,祭 (まつり) | 友 (とも) | 三 (さん) | 枚 (まい) | 渡 (わた)
2026-09-19 · 1.5M,N5,2129,だれも来ません。,No viene nadie.,来 (く)
2026-09-19 · 1.5M,N5,2130,本は机の上にありますから、すぐ見つかります。,"Como el libro está sobre la mesa, se encuentra enseguida.",本 (ほん) | 机 (つくえ) | 上 (うえ) | 見 (み)
2026-09-19 · 1.5M,N5,2131,今夜のご飯はカレーです。,La cena de esta noche es curry.,今 (こん) | 夜 (や) | 飯 (めし)
2026-09-19 · 1.5M,N5,2132,この店では服が安くて、人気があります。,En esta tienda la ropa es barata y es muy popular.,店 (みせ) | 服 (ふく) | 安く (やすく) | 人気 (にんき)
2026-09-19 · 1.5M,N5,2133,タクシーを呼びますか。,¿Llamas a un taxi?,呼びます (よびます)
2026-09-19 · 1.5M,N5,2134,友だちに来月京都へ行くと伝えます。,Le digo a un amigo que iré a Kioto el mes que viene.,友だち (ともだち) | 来月 (らいげつ) | 京都 (きょうと) | 行く (いく) | 伝えます (つたえます) | 伝えます (つたえます)
2026-09-19 · 1.5M,N5,2135,薬は水で飲みます。,La medicina la tomo con agua.,薬 (くすり) | 水 (みず) | 飲みます (のみます)
2026-09-19 · 1.5M,N5,2136,本を読むと、すぐ眠くなります。,"Cuando leo un libro, me entra sueño enseguida.",本 (ほん) | 読 (よ) | 眠 (ねむ)
2026-09-19 · 1.5M,N5,2137,会社から森まで歩きます。,Camino desde la oficina hasta el bosque.,会 (かい) | 社 (しゃ) | 森 (もり) | 歩 (ある)
2026-09-19 · 1.5M,N5,2138,友だちの家で夕食を食べます。,Ceno en casa de un amigo.,友 (とも) | 家 (いえ) | 夕 (ゆう) | 食 (しょく) | 食 (た)
2026-09-19 · 1.5M,N5,2139,映画も見ますかね。,"¿También ves películas, me pregunto?",映 (えい) | 画 (が) | 見 (み)
2026-09-19 · 1.5M,N5,2140,公園の桜はもう咲いたか、友だちに聞きました。,Le pregunté a un amigo si ya habían florecido los cerezos del parque.,公園 (こうえん) | 桜 (さくら) | 咲いた (さいた) | 友 (とも) | 聞きました (ききました)
2026-09-19 · 1.5M,N5,2141,受付に人はいません。,No hay nadie en recepción.,受付 (うけつけ) | 人 (ひと)
2026-09-19 · 1.5M,N5,2142,この機械は軽いから、持ち運びやすい。,"Esta máquina es ligera, así que es fácil de llevar.",機械 (きかい) | 軽い (かるい) | 持ち運びやすい (もちはこびやすい)
2026-09-19 · 1.5M,N5,2143,この町はとても静かだ。,Este pueblo es muy tranquilo.,町 (まち) | 静かだ (しずかだ)
2026-09-19 · 1.5M,N5,2144,休日に神社へ行って、お祭りの太鼓を聞きました。,En mi día libre fui al santuario y escuché los tambores del festival.,休日 (きゅうじつ) | 神社 (じんじゃ) | 行って (いって) | お祭り (おまつり) | 太鼓 (たいこ) | 聞きました (ききました)
2026-09-19 · 1.5M,N5,2145,ドアを閉めてください。,"Cierra la puerta, por favor.",閉めてください (しめてください)
2026-09-19 · 1.5M,N5,2146,ここでゲームをしてもいいですよ。,Puedes jugar aquí a un juego.,
2026-09-19 · 1.5M,N5,2147,このお菓子は夜に食べてはいけません。,No debes comer este dulce por la noche.,お菓子 (おかし) | 夜 (よる) | 食べて (たべて) | いけません (いけません)
2026-09-19 · 1.5M,N5,2148,安くても、今日はこの店ではかばんを買わない。,"Aunque está barato, hoy no voy a comprar un bolso en esta tienda.",安 (やす) | 今 (きょう) | 日 (にち) | 店 (みせ) | 買 (か)
2026-09-19 · 1.5M,N5,2149,昨日バスに乗った。,Ayer tomé el autobús.,昨日 (きのう) | 乗 (の)
2026-09-19 · 1.5M,N5,2150,今度の休みに海へ行きたい。,En las próximas vacaciones quiero ir al mar.,今度 (こんど) | 休 (やす) | 海 (うみ) | 行 (い)
2026-09-19 · 1.5M,N5,2151,少し休みましょうか。,¿Descansamos un poco?,少 (すこ) | 休 (やす)
2026-09-19 · 1.5M,N5,2152,いっしょに駅前の図書館で勉強しませんか。,¿Estudiamos juntos en la biblioteca frente a la estación?,駅前 (えきまえ) | 図書館 (としょかん) | 勉強 (べんきょう)
2026-09-19 · 1.5M,N5,2153,残業より早帰りのほうがいい。,Salir antes es mejor que hacer horas extra.,残業 (ざんぎょう) | 早帰り (はやがえり)
2026-09-19 · 1.5M,N5,2154,毎日連絡するから、関係がよくなります。,"Como me pongo en contacto cada día, la relación mejora.",毎日 (まいにち) | 連絡 (れんらく) | 関係 (かんけい)
2026-09-19 · 1.5M,N5,2155,映画の前にご飯を食べて、後で友だちに会います。,Antes de la película como y luego veo a un amigo.,映画 (えいが) | 前 (まえ) | ご飯 (ごはん) | 食 (た) | 後 (あと) | 友 (とも) | 会います (あいます)
2026-09-19 · 1.5M,N5,2156,もう花は咲きましたが、まだ葉は少ないです。,"Las flores ya han florecido, pero las hojas todavía son pocas.",花 (はな) | 咲きました (さきました) | 葉 (は) | 少ない (すくない)
2026-09-19 · 1.5M,N5,2157,この店へよく行きますか。,¿Vas a esta tienda a menudo?,店 (みせ) | 行きます (いきます)
2026-09-19 · 1.5M,N5,2158,友だちにアプリを三つ送りました。,Le envié tres aplicaciones a un amigo.,友 (とも) | 達 (だち) | 送 (おく) | 三つ (みっつ)
2026-09-19 · 1.5M,N5,2159,だれが来たのですか。だれも来ませんでした。,¿Quién vino? No vino nadie.,来 (き) | 来 (き)
2026-09-19 · 1.5M,N5,2160,日本の祭りでは、神社の前に屋台が並び、夜になるととてもにぎやかになる。,"En los festivales japoneses, los puestos se alinean delante del santuario y por la noche se anima mucho.",日本 (にほん) | 祭り (まつり) | 神社 (じんじゃ) | 前 (まえ) | 屋台 (やたい) | 並び (ならび) | 夜 (よる)
2026-09-19 · 1.5M,N5,2161,今日はスーパーで牛乳を買います。,Hoy voy a comprar leche en el supermercado.,今日 (きょう) | 牛乳 (ぎゅうにゅう) | 買 (か)
2026-09-19 · 1.5M,N5,2162,うちでは猫が窓辺で寝ています。,"En casa, el gato está durmiendo junto a la ventana.",猫 (ねこ) | 窓辺 (まどべ) | 寝 (ね)
2026-09-19 · 1.5M,N5,2163,朝ごはんにパンを食べますか。,¿Comes pan en el desayuno?,朝 (あさ) | 食 (た)
2026-09-19 · 1.5M,N5,2164,明日友だちとデパートへ靴を買いに行きます。,Mañana voy con un amigo a los grandes almacenes a comprar zapatos.,明日 (あした) | 友 (とも) | 靴 (くつ) | 買 (か) | 行 (い)
2026-09-19 · 1.5M,N5,2165,電車ではありません。,No es en tren.,電車 (でんしゃ)
2026-09-19 · 1.5M,N5,2166,友だちと行くと安心です。,"Cuando voy con un amigo, me quedo tranquilo.",友 (とも) | 行 (い) | 安 (あん) | 心 (しん)
2026-09-19 · 1.5M,N5,2167,朝から夜までスマホを見ます。,Miro el móvil desde la mañana hasta la noche.,朝 (あさ) | 夜 (よる) | 見 (み)
2026-09-19 · 1.5M,N5,2168,毎晩机の上のノートで漢字を復習します。,Cada noche repaso los kanji en el cuaderno de la mesa.,毎晩 (まいばん) | 机 (つくえ) | 上 (うえ) | 漢字 (かんじ) | 復習 (ふくしゅう)
2026-09-19 · 1.5M,N5,2169,あなたも残業しますか。,¿Tú también haces horas extra?,残業 (ざんぎょう)
2026-09-19 · 1.5M,N5,2170,あとで一緒にラーメンを食べませんか。,¿Comemos ramen juntos después?,一緒 (いっしょ) | 後 (あと) | 食べる (たべる)
2026-09-19 · 1.5M,N5,2171,ここにはベンチがありません。,Aquí no hay bancos.,
2026-09-19 · 1.5M,N5,2172,山の道は長いですが、景色がとてもきれいです。,"El camino de la montaña es largo, pero el paisaje es muy bonito.",山 (やま) | 道 (みち) | 長 (なが) | 景 (けい) | 色 (しょく)
2026-09-19 · 1.5M,N5,2173,この受付は静かです。,Este mostrador está tranquilo.,受 (う) | 付 (つ) | 静 (しず)
2026-09-19 · 1.5M,N5,2174,スマホを充電して、明日使います。,Cargo el móvil y lo usaré mañana.,充 (じゅう) | 電 (でん) | 明 (あ) | 日 (ひ) | 使 (つか)
2026-09-19 · 1.5M,N5,2175,会場で静かにしてくださいませんか。,¿Podría guardar silencio en el recinto?,会 (かい) | 場 (じょう) | 静 (しず)
2026-09-19 · 1.5M,N5,2176,この神社で写真を撮ってもいいですか。,¿Puedo sacar fotos en este santuario?,神社 (じんじゃ) | 写真 (しゃしん) | 撮 (と)
2026-09-19 · 1.5M,N5,2177,ここで歌ってはいけない。,No se puede cantar aquí.,歌 (うた)
2026-09-19 · 1.5M,N5,2178,鍵がないから入れない。,No puedo entrar porque no tengo la llave.,鍵 (かぎ) | 入 (はい)
2026-09-19 · 1.5M,N5,2179,昨日、カレーを食べた。,Ayer comí curry.,昨 (さく) | 日 (にち) | 食 (た)
2026-09-19 · 1.5M,N5,2180,私はこの店で新しいかばんを買いたいです。,Quiero comprar un bolso nuevo en esta tienda.,私 (わたし) | 店 (みせ) | 新しい (あたらしい) | 買いたい (かいたい)
2026-09-19 · 1.5M,N5,2181,電車で行きましょうか。,¿Vamos en tren?,電車 (でんしゃ) | 行きましょう (いきましょう)
2026-09-19 · 1.5M,N5,2182,今度の旅行に一緒に行きませんか。,¿Te gustaría ir conmigo al próximo viaje?,今度 (こんど) | 旅行 (りょこう) | 一緒 (いっしょ) | 行 (い)
2026-09-19 · 1.5M,N5,2183,熱があるときは、走るより歩いたほうがいいです。,"Cuando tienes fiebre, es mejor caminar que correr.",熱 (ねつ) | 走る (はしる) | 歩いた (あるいた)
2026-09-19 · 1.5M,N5,2184,毎晩遅くまで勉強するから、今日は早く寝ます。,"Como estudio hasta tarde cada noche, hoy me acuesto pronto.",毎晩 (まいばん) | 遅く (おそく) | 勉強 (べんきょう) | 今日 (きょう) | 早く (はやく) | 寝ます (ねます)
2026-09-19 · 1.5M,N5,2185,仕事の後で散歩します。,Después del trabajo doy un paseo.,仕事 (しごと) | 後 (あと) | 散歩 (さんぽ)
2026-09-19 · 1.5M,N5,2186,まだ彼女と話していません。,Todavía no he hablado con ella.,彼女 (かのじょ) | 話して (はなして)
2026-09-19 · 1.5M,N5,2187,どのくらい映画を見ますか。,¿Con qué frecuencia ves películas?,映画 (えいが) | 見ます (みます)
2026-09-19 · 1.5M,N5,2188,公園で友だちと鳥を三羽見ました。,Vi tres pájaros con un amigo en el parque.,公園 (こうえん) | 友 (とも) | 鳥 (とり) | 三 (さん) | 羽 (わ) | 見 (み)
2026-09-19 · 1.5M,N5,2189,窓口はどこですか。,¿Dónde está la ventanilla?,窓口 (まどぐち)
2026-09-19 · 1.5M,N5,2190,スマホは机の上にあるから、すぐ使えます。,"Como el móvil está sobre la mesa, puedo usarlo enseguida.",机 (つくえ) | 上 (うえ) | 使 (つか)
2026-09-19 · 1.5M,N5,2191,この町では電車が便利です。,"En esta ciudad, el tren es práctico.",町 (まち) | 電車 (でんしゃ) | 便利 (べんり)
2026-09-19 · 1.5M,N5,2192,日本の茶道は静かな動きが多いです。,La ceremonia del té japonesa tiene muchos movimientos tranquilos.,日本 (にほん) | 茶道 (さどう) | 静 (しず) | 動 (うご) | 多 (おお) | 文化 (ぶんか)
2026-09-19 · 1.5M,N5,2193,ごみを出す？,¿Sacas la basura?,出 (だ)
2026-09-19 · 1.5M,N5,2194,母の家へプレゼントを持って行きます。,Llevo un regalo a casa de mi madre.,母 (はは) | 持 (も) | 家 (いえ) | 行 (い)
2026-09-19 · 1.5M,N5,2195,家でパンは食べません。,No como pan en casa.,家 (いえ) | 食 (た)
2026-09-19 · 1.5M,N5,2196,この店は安いと有名なので、いつも人が多いです。,"Esta tienda es famosa por ser barata, así que siempre hay mucha gente.",店 (みせ) | 安 (やす) | 有 (ゆう) | 名 (めい) | 人 (ひと) | 多 (おお)
2026-09-19 · 1.5M,N5,2197,駅から港まで歩きます。,Voy andando de la estación al puerto.,駅 (えき) | 港 (みなと) | 歩 (ある)
2026-09-19 · 1.5M,N5,2198,旅行の荷物の確認をします。,Compruebo el equipaje del viaje.,旅 (たび) | 行 (こう) | 荷 (に) | 物 (もの) | 確 (かく) | 認 (にん)
2026-09-19 · 1.5M,N5,2199,今朝は頭も痛いですか。,¿También te duele la cabeza esta mañana?,今 (いま) | 朝 (あさ) | 頭 (あたま) | 痛 (いた)
2026-09-19 · 1.5M,N5,2200,毎朝電車で勉強するのかと友だちに聞きました。,Le pregunté a un amigo si estudia cada mañana en el tren.,毎 (まい) | 朝 (あさ) | 電 (でん) | 車 (しゃ) | 勉 (べん) | 強 (きょう) | 友 (とも) | 聞 (き)
2026-09-19 · 1.5M,N5,2201,事務所に人がいません。,No hay nadie en la oficina.,事 (じ) | 務 (む) | 所 (しょ) | 人 (ひと)
2026-09-19 · 1.5M,N5,2202,やさしい人だから、安心できます。,"Como es una persona amable, me siento tranquilo.",人 (ひと) | 安 (あん) | 心 (こころ)
2026-09-19 · 1.5M,N5,2203,この公園はにぎやかだ。,Este parque es animado.,公 (こう) | 園 (えん)
2026-09-19 · 1.5M,N5,2204,公園の木が揺れて、鳥が鳴いています。,Los árboles del parque se mecen y los pájaros cantan.,公園 (こうえん) | 木 (き) | 揺 (ゆ) | 鳥 (とり) | 鳴 (な)
2026-09-19 · 1.5M,N5,2205,ここで待ってください。,"Espere aquí, por favor.",待 (ま)
2026-09-19 · 1.5M,N5,2206,このスマホを使ってもいいです。,Puedes usar este móvil.,使 (つか)
2026-09-19 · 1.5M,N5,2207,ここでゴミを捨ててはいけない。,No se puede tirar basura aquí.,捨 (す)
2026-09-19 · 1.5M,N4,2246,旅行に行く決心をしました。,Tomé la decisión de ir de viaje.,旅 (たび) | 行 (い) | 決 (けっ) | 心 (しん)
2026-09-19 · 1.5M,N4,2247,この町の住人は健康ですか。,¿Los habitantes de este pueblo están sanos?,町 (まち) | 住 (じゅう) | 人 (にん) | 健 (けん) | 康 (こう)
2026-09-19 · 1.5M,N4,2248,未知のこともみんなで話し合えば、少しずつ分かります。,"Si hablamos entre todos de lo desconocido, poco a poco lo entendemos.",未 (み) | 知 (ち) | 話 (はな) | 少 (すこ) | 分 (わ) | 合 (あ)
2026-09-19 · 1.5M,N4,2249,ここは国立の研究所ではありません。,Aquí no es un instituto nacional de investigación.,国 (こく) | 立 (りつ) | 研 (けん) | 究 (きゅう) | 所 (しょ)
2026-09-19 · 1.5M,N4,2250,彼らが共謀していたから、信頼できませんでした。,"Como conspiraban, no pude confiar en ellos.",彼 (かれ) | 共 (きょう) | 謀 (ぼう) | 信 (しん) | 頼 (らい)
2026-09-19 · 1.5M,N4,2251,その芸人は本名をまだ明かしていません。,Ese humorista aún no ha revelado su nombre real.,芸 (げい) | 人 (にん) | 本 (ほん) | 名 (みょう) | 明 (あ)
2026-09-19 · 1.5M,N4,2252,この雲の写真では、ここで見た景色が本物だとは証明できません。,"Con esta foto de las nubes, no se puede probar que el paisaje visto aquí fuera real.",雲 (くも) | 写 (しゃ) | 真 (しん) | 見 (み) | 景 (けい) | 色 (しき) | 本 (ほん) | 物 (もの) | 証 (しょう) | 明 (めい)
2026-09-19 · 1.5M,N4,2253,そのツールは無料ですか。,¿Esa herramienta es gratis?,無 (む) | 料 (りょう)
2026-09-19 · 1.5M,N4,2254,彼は会社で大事な役割を果たします。,Él cumple un papel importante en la empresa.,彼 (かれ) | 会社 (かいしゃ) | 大事 (だいじ) | 役割 (やくわり) | 果たします (はたします)
2026-09-19 · 1.5M,N4,2255,それはニュースではなく、広告コンテンツです。,"Eso no es una noticia, sino contenido publicitario.",広告 (こうこく)
2026-09-19 · 1.5M,N4,2256,この本は面白いですが、著者があとがきで理由を説明しています。,"Este libro es interesante, pero el autor explica el motivo en el posfacio.",本 (ほん) | 面白い (おもしろい) | 著者 (ちょしゃ) | 理由 (りゆう) | 説明しています (せつめいしています)
2026-09-19 · 1.5M,N4,2257,この機能がコアです。,Esta función es el núcleo.,機能 (きのう)
2026-09-19 · 1.5M,N4,2258,古い棚を分解して、部屋を広くしました。,Desmonté una estantería vieja y la habitación quedó más amplia.,古 (ふる) | 棚 (たな) | 分 (ぶん) | 解 (かい) | 部 (ぶ) | 屋 (や) | 広 (ひろ)
2026-09-19 · 1.5M,N4,2259,この機械を置く敷地はもう決まりましたか。,¿Ya se ha decidido el terreno donde colocar esta máquina?,機 (き) | 械 (かい) | 置 (お) | 敷 (し) | 地 (ち) | 決 (き)
2026-09-19 · 1.5M,N4,2260,この店では、居住証明を見せると地域限定の配達料が安くなります。,"En esta tienda, si enseñas un justificante de residencia, el envío de la zona sale más barato.",店 (みせ) | 居 (きょ) | 住 (じゅう) | 証 (しょう) | 明 (めい) | 見 (み) | 地 (ち) | 域 (いき) | 限 (げん) | 定 (てい) | 配 (はい) | 達 (たつ) | 料 (りょう) | 安 (やす)
2026-09-19 · 1.5M,N4,2261,その料金は膨大じゃないよ。,Esa tarifa no es enorme.,料 (りょう) | 金 (きん) | 膨 (ぼう) | 大 (だい)
2026-09-19 · 1.5M,N4,2262,荷物を減らしたので、適切な服を一枚だけ持って行きました。,"Como reduje el equipaje, llevé solo una prenda adecuada.",荷物 (にもつ) | 減ら (へら) | 適切 (てきせつ) | 服 (ふく) | 一枚 (いちまい) | 持 (も) | 行 (い)
2026-09-19 · 1.5M,N4,2263,健康目標を遂行するには、無理のない計画が必要です。,"Para llevar a cabo un objetivo de salud, hace falta un plan razonable.",健康 (けんこう) | 目標 (もくひょう) | 遂行 (すいこう) | 無理 (むり) | 計画 (けいかく) | 必要 (ひつよう)
2026-09-19 · 1.5M,N4,2264,授業のあと、資料を借りた研究室を訪問して質問しました。,"Después de clase, visité el laboratorio donde había pedido prestado material y pregunté.",授業 (じゅぎょう) | 資料 (しりょう) | 借 (か) | 研究室 (けんきゅうしつ) | 訪問 (ほうもん) | 質問 (しつもん)
2026-09-19 · 1.5M,N4,2265,皆さん、明日の会議は何時ですか。,"Todos, ¿a qué hora es la reunión de mañana?",皆さん (みなさん) | 明日 (あした) | 会議 (かいぎ) | 何時 (なんじ)
2026-09-19 · 1.5M,N4,2266,彼は会議で指揮をとります。,Él dirige la reunión.,彼 (かれ) | 会議 (かいぎ) | 指揮 (しき)
2026-09-19 · 1.5M,N4,2267,この商品は大量生産ではありません。,Este producto no es de producción en masa.,商品 (しょうひん) | 大量生産 (たいりょうせいさん)
2026-09-19 · 1.5M,N4,2269,神経が過敏です。,Tengo los nervios a flor de piel.,神経 (しんけい) | 過敏 (かびん)
2026-09-19 · 1.5M,N4,2270,この新しい建設プロジェクトは来月始まります。,Este nuevo proyecto de construcción empezará el mes que viene.,新 (あたら) | 建 (けん) | 設 (せつ) | 来 (らい) | 月 (つき) | 始 (はじ)
2026-09-19 · 1.5M,N4,2271,駅前の信号は今、青ですか、赤ですか。,¿El semáforo frente a la estación está ahora en verde o en rojo?,駅 (えき) | 前 (まえ) | 信 (しん) | 号 (ごう) | 今 (いま) | 青 (あお) | 赤 (あか)
2026-09-19 · 1.5M,N4,2272,この地区の祭りに参加して、近所の人たちに挨拶しました。,Participé en el festival de este distrito y saludé a los vecinos.,地 (ち) | 区 (く) | 祭 (まつ) | 参 (さん) | 加 (か) | 近 (ちか) | 所 (しょ) | 人 (ひと) | 挨 (あい) | 拶 (さつ)
2026-09-19 · 1.5M,N4,2273,暴力は絶対にだめです。,La violencia es absolutamente inaceptable.,暴 (ぼう) | 力 (りょく) | 絶 (ぜつ) | 対 (たい)
2026-09-19 · 1.5M,N4,2274,うちでは宗教によって食べ物が違います。,"En casa, la comida cambia según la religión.",宗教 (しゅうきょう) | 食べ物 (たべもの) | 違います (ちがいます)
2026-09-19 · 1.5M,N4,2275,この料理は集団で食べるのに向いています。,Este plato es adecuado para comerlo en grupo.,料理 (りょうり) | 集団 (しゅうだん) | 食べる (たべる) | 向 (む)
2026-09-19 · 1.5M,N4,2276,セール前に緊張して、店員にうまく聞けませんでした。,"Antes de las rebajas, me puse nervioso y no pude preguntar bien al dependiente.",緊張 (きんちょう) | 店員 (てんいん) | 聞けませんでした (きけませんでした) | 前 (まえ)
2026-09-19 · 1.5M,N4,2277,価格はいくらですか。,¿Cuál es el precio?,価格 (かかく)
2026-09-19 · 1.5M,N4,2278,海外旅行のビザを取得しました。,He obtenido el visado para viajar al extranjero.,海外 (かいがい) | 旅行 (りょこう) | 取得 (しゅとく)
2026-09-19 · 1.5M,N4,2279,熱がないので、自宅でゆっくり休んでいます。,"No tengo fiebre, así que estoy descansando tranquilamente en casa.",熱 (ねつ) | 自宅 (じたく) | 休 (やす)
2026-09-19 · 1.5M,N4,2280,返事が遅れたので、勉強に集中できませんでした。,"Como la respuesta se retrasó, no pude concentrarme en el estudio.",返事 (へんじ) | 遅 (おく) | 勉強 (べんきょう) | 集中 (しゅうちゅう)
2026-09-19 · 1.5M,N4,2281,私はその案を支持します。,Yo apoyo esa propuesta.,私 (わたし) | 案 (あん) | 支持 (しじ)
2026-09-19 · 1.5M,N4,2282,買い物をしました。その後、喫茶店で休みました。,"Hice unas compras; después de eso, descansé en una cafetería.",買 (か) | 物 (もの) | 後 (ご) | 喫 (きつ) | 茶 (ちゃ) | 店 (てん) | 休 (やす)
2026-09-19 · 1.5M,N4,2283,休みの日に化学の本を読むことがあるの？,¿Lees a veces libros de química en tu tiempo libre?,休 (やす) | 日 (ひ) | 化 (か) | 学 (がく) | 本 (ほん) | 読 (よ)
2026-09-19 · 1.5M,N4,2284,本日は自然公園の清掃にご協力いただき、ありがとうございます。,"Hoy, gracias por colaborar en la limpieza del parque natural.",本 (ほん) | 日 (じつ) | 自 (じ) | 然 (ぜん) | 公 (こう) | 園 (えん) | 清 (せい) | 掃 (そう) | 協 (きょう) | 力 (りょく)
2026-09-19 · 1.5M,N4,2285,いいえ、具合は悪くないです。,"No, no me encuentro mal.",具 (ぐ) | 合 (あ) | 悪 (わる)
2026-09-19 · 1.5M,N4,2286,その発表は見事だったので、予定より早く終わりました。,"La presentación fue espléndida, así que terminó antes de lo previsto.",発表 (はっぴょう) | 見事 (みごと) | 予 (よ) | 定 (てい) | 早 (はや) | 終 (お)
2026-09-19 · 1.5M,N4,2287,私はその案に同意します。,Estoy de acuerdo con esa propuesta.,私 (わたし) | 案 (あん) | 同意 (どうい)
2026-09-19 · 1.5M,N4,2288,彼の冗談は少し変だったけど、私は平気で笑えました。,"Su broma fue un poco rara, pero me lo tomé con calma y pude reírme.",彼 (かれ) | 冗談 (じょうだん) | 少 (すこ) | 変 (へん) | 私 (わたし) | 平気 (へいき) | 笑 (わら)
2026-09-19 · 1.5M,N4,2289,ここにいろんな味があるの？,¿Hay diferentes sabores aquí?,味 (あじ)
2026-09-19 · 1.5M,N4,2290,家で昨日撮った画像を家族に見せたよ。,En casa les enseñé la imagen que tomé ayer a mi familia.,家 (いえ) | 昨日 (きのう) | 撮った (とった) | 画像 (がぞう) | 家族 (かぞく) | 見せた (みせた)
2026-09-19 · 1.5M,N4,2291,それは国内の料理じゃなくて、海外の料理だ。,Eso no es comida nacional; es comida extranjera.,国内 (こくない) | 料理 (りょうり) | 海外 (かいがい) | 料理 (りょうり)
2026-09-19 · 1.5M,N4,2292,値札を見なかったので、値段を誤解して高いほうを買ってしまった。,"Como no vi la etiqueta, entendí mal el precio y acabé comprando la más cara.",値札 (ねふだ) | 見なかった (みなかった) | 値段 (ねだん) | 誤解 (ごかい) | 高い (たかい) | 買ってしまった (かってしまった)
2026-09-19 · 1.5M,N4,2293,駅前は駐車できません。,En la plaza de la estación no se puede aparcar.,駅前 (えきまえ) | 駐車 (ちゅうしゃ) | できません (できません)
2026-09-19 · 1.5M,N4,2294,この駅は立派で、旅行気分が高まりました。,Esta estación es espléndida y me entró el espíritu viajero.,駅 (えき) | 立派 (りっぱ) | 旅行 (りょこう) | 気分 (きぶん) | 高 (たか)
2026-09-19 · 1.5M,N4,2295,このあざは拡大していますか。,¿Este moratón se está extendiendo?,拡大 (かくだい)
2026-09-19 · 1.5M,N4,2296,研究の行方について、みんなで意見を交換しました。,Intercambiamos opiniones sobre el rumbo de la investigación.,研究 (けんきゅう) | 行方 (ゆくえ) | 意見 (いけん) | 交換 (こうかん)
2026-09-19 · 1.5M,N4,2297,資格は必要ありません。,No hace falta ninguna cualificación.,資格 (しかく) | 必要 (ひつよう)
2026-09-19 · 1.5M,N4,2298,先週けんかしたけど、今は仲直りした。,"La semana pasada discutimos, pero ahora nos hemos reconciliado.",先週 (せんしゅう) | 仲直り (なかなおり) | 今 (いま)
2026-09-19 · 1.5M,N4,2299,今日、映画の字幕を修正した。,Hoy he corregido los subtítulos de la película.,今日 (きょう) | 映画 (えいが) | 字幕 (じまく) | 修正 (しゅうせい)
2026-09-19 · 1.5M,N4,2300,この森の周辺では木材産業が昔からさかんで、今も働く人が多い。,"En los alrededores de este bosque, la industria maderera ha sido próspera desde hace tiempo y todavía trabaja mucha gente.",森 (もり) | 周辺 (しゅうへん) | 木材産業 (もくざいさんぎょう) | 昔 (むかし) | 今 (いま) | 働く (はたらく) | 人 (ひと) | 多 (おお)
2026-09-19 · 1.5M,N4,2301,三日連続ですか？,¿Son tres días seguidos?,三日 (みっか) | 連続 (れんぞく)
2026-09-19 · 1.5M,N4,2302,このゲームでは兵器の種類が多いです。,En este juego hay muchos tipos de armas.,兵器 (へいき) | 種類 (しゅるい) | 多い (おおい)
2026-09-19 · 1.5M,N4,2303,彼はその件について一言も言いませんでした。,No dijo ni una palabra sobre ese asunto.,彼 (かれ) | 件 (けん) | 一言 (ひとこと) | 言いませんでした (いいませんでした)
2026-09-19 · 1.5M,N4,2304,その文化は若い世代には人気がありますが、私の世代には少しなじみにくいです。,"Esa cultura es popular entre la generación joven, pero a la mía le resulta algo menos familiar.",文化 (ぶんか) | 若い (わかい) | 世代 (せだい) | 人気 (にんき) | 私 (わたし) | 世代 (せだい) | 少し (すこし)
2026-09-19 · 1.5M,N4,2305,駅前は交通量が多いです。,Delante de la estación hay mucho tráfico.,駅前 (えきまえ) | 交通量 (こうつうりょう) | 多い (おおい)
2026-09-19 · 1.5M,N4,2306,この家は連邦の補助で家賃が安い。,Esta vivienda tiene un alquiler barato gracias a la ayuda federal.,家 (いえ) | 連邦 (れんぽう) | 補助 (ほじょ) | 家賃 (やちん) | 安い (やすい)
2026-09-19 · 1.5M,N4,2307,食べてみて、この味の結論は何？,"Después de probarlo, ¿cuál es tu conclusión sobre el sabor?",食べて (たべて) | 味 (あじ) | 結論 (けつろん) | 何 (なに)
2026-09-19 · 1.5M,N4,2308,この店でのトラブルについて、昨日見たことを証言してください。,"Sobre el problema de esta tienda, declara lo que viste ayer.",店 (みせ) | 昨日 (きのう) | 見た (みた) | 証言して (しょうげんして)
2026-09-19 · 1.5M,N4,2309,まだバスはでないよ。,El autobús aún no sale.,
2026-09-19 · 1.5M,N4,2310,飛行機の上昇で、窓から街が小さく見えた。,"Por el ascenso del avión, la ciudad se veía pequeña desde la ventana.",飛行機 (ひこうき) | 上 (じょう) | 昇 (しょう) | 窓 (まど) | 街 (まち) | 小 (ちい) | 見 (み)
