id_candidata,estado,nivel_revisado,japones,espanol,motivo,vocabulario_y_contextos_previos,ejemplo_mas_proximo
N4:2211,aceptada,N2,この店は多様な料理を出しますか。,¿Este local sirve platos variados?,Aporta un uso natural de vocabulario poco representado en el banco.,"{""この"": 796, ""出す"": 12, ""多様"": 0, ""店"": 127, ""料理"": 37}",この店では靴を直してもらえますか。
N4:2212,descartada,N4,原告は店の返品窓口で返金を求めました。,El demandante pidió el reembolso en la ventanilla de devoluciones de la tienda.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""原告"": 0, ""店"": 127, ""求める"": 3, ""窓口"": 29, ""返品"": 1, ""返金"": 0}",店で身分証の提示を求められました。
N4:2213,descartada,N4,このバスは身長制限がない。,Este autobús no tiene límite de estatura.,Restricción de altura en un autobús sin contexto justificativo.,"{""この"": 796, ""ない"": 34, ""バス"": 87, ""制限"": 1, ""身長"": 0}",バスはここにない。
N4:2214,descartada,N4,普段は電車で行きますが、旅行のときはバスを使います。,"Normalmente voy en tren, pero cuando viajo uso autobús.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""バス"": 87, ""使う"": 78, ""旅行"": 82, ""普段"": 0, ""行く"": 223, ""電車"": 91}",旅行のときはバスを使います。
N4:2215,descartada,N4,毎日のケアが大切です。,El cuidado diario es importante.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ケア"": 0, ""大切"": 37, ""毎日"": 74}",旅行の前に健康が大切です。
N4:2216,aceptada,N2,授業では農民の暮らしと収入の変化を調べました。,En clase investigué la vida de los campesinos y los cambios en sus ingresos.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""収入"": 1, ""変化"": 4, ""授業"": 16, ""暮らし"": 0, ""調べる"": 21, ""農民"": 0}",この物語では、王の暗殺が国の文化を大きく変えました。
N4:2217,descartada,N4,高齢でもできますか。,¿Se puede hacer incluso siendo mayor?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""できる"": 81, ""高齢"": 0}",宅配もできますか。
N4:2218,descartada,N4,私は人の徳を大切にします。,Valoro la virtud de las personas.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""する"": 871, ""人"": 73, ""大切"": 37, ""徳"": 0, ""私"": 124}",国民は国を大切にします。
N4:2219,aceptada,N4,これは土産じゃなくて、私の忘れ物です。,"Esto no es un souvenir, sino algo que me he dejado.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""これ"": 51, ""土産"": 0, ""忘れ物"": 1, ""私"": 124}",これは燃料じゃなくて水です。
N4:2220,descartada,N4,森を守るには水が不可欠ですが、開発も必要です。,"Para proteger el bosque, el agua es esencial, pero también hace falta desarrollo.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""不可欠"": 0, ""守る"": 15, ""必要"": 38, ""森"": 42, ""水"": 36, ""開発"": 3}",自然を守るには、倫理だけでなく、日々の行動も必要です。
N4:2221,aceptada,N3,彼は堂々と話します。,Él habla con aplomo.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""堂々"": 0, ""彼"": 64, ""話す"": 54}",友だちと毎日話します。
N4:2222,descartada,N4,買い物の前に株価も少し確認しました。,"Antes de ir de compras, también comprobé un poco las cotizaciones bursátiles.",Lecturas fuera del orden del texto.,"{""する"": 871, ""前"": 118, ""少し"": 143, ""株価"": 0, ""確認"": 33, ""買い物"": 28}",買い物の前に少し運動をします。
N4:2223,aceptada,N2,この古いメモ、まだ解読できますか。,¿Puedes descifrar todavía esta nota antigua?,Aporta un uso natural de vocabulario poco representado en el banco.,"{""この"": 796, ""できる"": 81, ""まだ"": 85, ""メモ"": 7, ""古い"": 25, ""解読"": 0}",この会員登録の解除はできますか？
N4:2224,aceptada,N2,文化祭の写真を出力して、あとで会場でみんなに配りました。,Imprimí las fotos del festival cultural y luego se las repartí a todos en el recinto.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""あと"": 23, ""する"": 871, ""みんな"": 34, ""会場"": 5, ""写真"": 73, ""出力"": 0, ""文化"": 40, ""配る"": 2}",部の指令どおり、資料をまとめて会議の前にみんなに配りました。
N4:2225,aceptada,N2,私は現金を所持していません。,No llevo efectivo.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""する"": 871, ""所持"": 0, ""現金"": 2, ""私"": 124}",私はその事故を目撃していません。
N4:2226,descartada,N4,雨が降っても、母はすぐやってくる。,"Aunque llueva, mi madre viene enseguida.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""すぐ"": 33, ""やってくる"": 0, ""母"": 40, ""降る"": 15, ""雨"": 46}",雨が降っても、母は窓を開けます。
N4:2227,aceptada,N1,その古い腕時計は、専門家に鑑定された。,Ese reloj de pulsera antiguo fue tasado por un especialista.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""する"": 871, ""その"": 117, ""古い"": 25, ""専門"": 2, ""腕時計"": 1, ""鑑定"": 0}",その商品はお客様に返品されましたか。
N4:2228,descartada,N4,店で値札を見ていると、すると急に全品の安売りが始まりました。,"En la tienda, al mirar las etiquetas, entonces empezó de repente la rebaja de todos los artículos.",Conectores redundantes y poco naturales.,"{""すると"": 0, ""値札"": 1, ""全品"": 0, ""始まる"": 13, ""安売り"": 0, ""店"": 127, ""急"": 7, ""見る"": 158}",駅の店で買い物中、急に荷物の行方がわからなくなりました。
N4:2229,descartada,N4,次に乗る電車はどれですか。,¿Cuál es el tren que voy a coger a continuación?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""どれ"": 5, ""乗る"": 24, ""次に"": 1, ""電車"": 91}",明日の電車の見通しはどうですか。
N4:2230,aceptada,N3,旅行の募集を見て、すぐ申し込みました。,Vi la convocatoria del viaje y me apunté enseguida.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""すぐ"": 33, ""募集"": 0, ""旅行"": 82, ""申し込む"": 2, ""見る"": 158}",旅行の写真を見ました。
N4:2231,descartada,N4,あれは栄光ではなく、努力の結果です。,"Eso no es gloria, sino el resultado del esfuerzo.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""あれ"": 3, ""努力"": 2, ""栄光"": 0, ""結果"": 12}",それは幸運じゃなくて、努力の結果です。
N4:2232,aceptada,N2,この講座では、勉強時間を三十分と定めるので、予定を組みやすいです。,"En este curso, se fija el tiempo de estudio en treinta minutos, así que es fácil organizarse.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""この"": 796, ""予定"": 29, ""勉強"": 111, ""定める"": 0, ""時間"": 33, ""組む"": 1, ""講座"": 0}",この教科書は読みやすいです。
N4:2233,descartada,N4,経理では分子を確認します。,"En contabilidad, comprobamos el numerador.",Uso de numerador en contabilidad sin contexto suficiente.,"{""する"": 871, ""分子"": 0, ""確認"": 33, ""経理"": 1}",電車では子どもの世話をします。
N4:2234,descartada,N4,昨日彼は不正がばれて、村から追放されたことをすぐ知った。,Ayer supo enseguida que habían descubierto su fraude y lo habían expulsado del pueblo.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""すぐ"": 33, ""する"": 871, ""ばれる"": 1, ""不正"": 2, ""彼"": 64, ""昨日"": 40, ""村"": 0, ""知る"": 10, ""追放"": 0}",昨夜、彼の浮気が妻にばれて大騒ぎになった。
N4:2235,aceptada,N4,この橋を渡ると、遊園地へ歩いて行けますよね？,"Si cruzas este puente, puedes ir andando al parque de atracciones, ¿verdad?",Aporta un uso natural de vocabulario poco representado en el banco.,"{""この"": 796, ""橋"": 4, ""歩く"": 38, ""渡る"": 0, ""行ける"": 14, ""遊園"": 1}",この坂を上がると、右に古い寺が見えます。
N4:2236,descartada,N4,私は森で見た謎の光の実在を、友だちに話しました。,Le conté a un amigo la existencia real de una luz misteriosa que vi en el bosque.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""光"": 3, ""友だち"": 126, ""実在"": 0, ""森"": 42, ""私"": 124, ""見る"": 158, ""話す"": 54, ""謎"": 0}",このパソコンのことを友達に話しました。
N4:2237,aceptada,N3,そんなに複雑じゃないよ。,No es tan complicado.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""そんなに"": 3, ""複雑"": 0}",本気じゃないよ。
N4:2238,descartada,N4,時間がないので、今は聴取を後回しにします。,"Como no tengo tiempo, dejo la escucha para después.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""する"": 871, ""ない"": 34, ""今"": 54, ""後回し"": 0, ""時間"": 33, ""聴取"": 0}",部屋が寒いので、今日は窓を閉めることにします。
N4:2239,aceptada,N2,個別の事情は後で確認します。,Luego confirmaré las circunstancias de cada caso.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""する"": 871, ""事情"": 4, ""個別"": 0, ""後で"": 5, ""確認"": 33}",まちの中心で確認します。
N4:2240,aceptada,N1,文化の現場では、この劇の成功で賃金の見直しを求める声が強まりました。,"En el ámbito cultural, el éxito de esta obra ha reforzado las voces que piden revisar los salarios.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""この"": 796, ""劇"": 0, ""声"": 9, ""強まる"": 0, ""成功"": 2, ""文化"": 40, ""求める"": 3, ""現場"": 2, ""見直し"": 0, ""賃金"": 0}",地元では森の保護を求める声が増えています。
N4:2241,aceptada,N2,これは新規の申込みですか。,¿Es una solicitud nueva?,Aporta un uso natural de vocabulario poco representado en el banco.,"{""これ"": 51, ""新規"": 0, ""申込む"": 0}",これは何の物質ですか。
N4:2242,aceptada,N2,毎日の塩分摂取を少しずつ減らします。,Reduciré poco a poco mi ingesta diaria de sal.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""塩分"": 0, ""少し"": 143, ""摂取"": 0, ""毎日"": 74, ""減らす"": 6}",母が毎日少しずつ貯金してくれます。
N4:2243,aceptada,N3,その客は逮捕されず、店から出されました。,Ese cliente no fue arrestado; solo lo echaron del local.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""する"": 871, ""その"": 117, ""出す"": 12, ""客"": 5, ""店"": 127, ""逮捕"": 0}",その商品はお客様に返品されましたか。
N4:2244,descartada,N4,このアルバムは作曲がいいので、少し高くても買います。,"Como la composición de este álbum es buena, aunque sea un poco caro lo compraré.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""いい"": 70, ""この"": 796, ""アルバム"": 1, ""作曲"": 0, ""少し"": 143, ""買う"": 121, ""高い"": 43}",このアプリは登録しなくてもいいですか。
N4:2245,aceptada,N3,駅では係員の指示に従います。,Sigo las indicaciones del personal en la estación.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""係員"": 0, ""従う"": 0, ""指示"": 2, ""駅"": 97}",兄は駅で働いています。
N5:2108,descartada,N5,森の空気は朝になるととても気持ちいいです。,El aire del bosque es muy agradable por la mañana.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""とても"": 34, ""なる"": 125, ""朝"": 40, ""気持ちいい"": 1, ""空気"": 7}",この森はとても静かで、気持ちがいいです。
N5:2109,descartada,N5,ここでも使えますか。,¿También se puede usar aquí?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ここ"": 108, ""使える"": 15}",ここでパンも買えますか。
N5:2110,descartada,N5,このアプリは旅行中でも使えますか。,¿Esta aplicación también se puede usar durante el viaje?,Lectura incorrecta de 旅行.,"{""この"": 796, ""アプリ"": 66, ""使える"": 15, ""旅行"": 82}",このアプリを使いますか。
N5:2111,descartada,N5,この町には駅がありません。,En esta ciudad no hay estación.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ある"": 381, ""この"": 796, ""町"": 54, ""駅"": 97}",この町にも駅がありますか。
N5:2112,descartada,N5,日本のお祭りは楽しいですが、人が多いです。,"Los festivales japoneses son divertidos, pero hay mucha gente.",Lectura de 祭 duplica la terminación り.,"{""人"": 73, ""多い"": 24, ""楽しい"": 7, ""祭り"": 70}",この祭りは楽しいですが、人が多いので、途中で帰りました。
N5:2113,descartada,N5,この店は便利だ。,Esta tienda es práctica.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""この"": 796, ""便利"": 32, ""店"": 127}",この制度は便利です。
N5:2114,descartada,N5,母は窓を開けて、空気を入れました。,Mi madre abrió la ventana y dejó entrar el aire.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""入れる"": 18, ""母"": 40, ""空気"": 7, ""窓"": 31, ""開ける"": 13}",母が窓を開けて、空気を入れた。
N5:2115,aceptada,N4,塩を少し入れてくださいませんか。,¿Podría echar un poco de sal?,Aporta un uso natural de vocabulario poco representado en el banco.,"{""入れる"": 18, ""塩"": 0, ""少し"": 143}",これをコピーしてくださいませんか。
N5:2116,descartada,N5,この店で服を試着してもいいですか。,¿Puedo probarme ropa en esta tienda?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""この"": 796, ""する"": 871, ""店"": 127, ""服"": 13, ""試着"": 1}",この店で試着してもいいですか。
N5:2117,descartada,N5,ここで降りてはいけない。,No se puede bajar aquí.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ここ"": 108, ""降りる"": 7}",ここで降りてください。
N5:2118,descartada,N5,切符を買わないと電車に乗れません。,"Si no compras el billete, no puedes subir al tren.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""乗れる"": 2, ""切符"": 25, ""買う"": 121, ""電車"": 91}",三カ月電車に乗っていません。
N5:2119,descartada,N5,昨日、スマホの見すぎで目が疲れました。,Ayer se me cansaron los ojos por mirar demasiado el móvil.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""昨日"": 40, ""疲れる"": 12, ""目"": 7, ""見る"": 158}",スマホを使いすぎて、目が疲れました。
N5:2120,descartada,N5,毎晩漢字を練習して、もっと早く読めるようになりたい。,Quiero practicar kanji cada noche para poder leer más rápido.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""する"": 871, ""なる"": 125, ""もっと"": 30, ""早い"": 47, ""毎晩"": 15, ""漢字"": 44, ""練習"": 12, ""読める"": 11}",毎日漢字を練習して、前より早く読めるようになりました。
N5:2121,descartada,N5,一緒に仕事をしましょうか。,¿Trabajamos juntos?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""する"": 871, ""一緒"": 26, ""仕事"": 133}",いっしょに仕事をしましょうか。
N5:2122,descartada,N5,今夜、一緒に晩ご飯を食べませんか。,¿Cenamos juntos esta noche?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ご飯"": 40, ""一緒"": 26, ""今夜"": 15, ""晩"": 3, ""食べる"": 129}",一緒にご飯を食べませんか。
N5:2123,descartada,N5,映画よりゲームのほうが楽しいです。,Los videojuegos son más divertidos que el cine.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ゲーム"": 41, ""映画"": 78, ""楽しい"": 7}",映画より音楽のほうが好きです。
N5:2124,aceptada,N5,空がきれいだから、星がよく見えます。,"Como el cielo está limpio, se ven bien las estrellas.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""きれい"": 29, ""よく"": 54, ""星"": 0, ""空"": 1, ""見える"": 14}",これは本物だから、よく調べます。
N5:2125,descartada,N5,郵便局に行った後で勉強します。,"Después de ir a correos, estudiaré.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""する"": 871, ""勉強"": 111, ""行く"": 223, ""郵便"": 23}",昨日、郵便局へ行った。
N5:2126,descartada,N5,スマホはもう充電しました。,Ya he cargado el móvil.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""する"": 871, ""もう"": 88, ""スマホ"": 51, ""充電"": 3}",バスはもう出発しました。
N5:2127,descartada,N5,地域の集まりによく行きますか。,¿Vas a menudo a las reuniones del barrio?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""よく"": 54, ""地域"": 29, ""行く"": 223, ""集まり"": 8}",来月の地域の集まりに行くつもりですか。
N5:2128,descartada,N5,お祭りで友だちに三枚のチケットを渡しました。,Le di tres entradas a un amigo en el festival.,Lectura de 祭 duplica la terminación り.,"{""チケット"": 1, ""友だち"": 126, ""渡す"": 2, ""祭り"": 70}",友だちに二冊の本を貸しました。
N5:2129,descartada,N5,だれも来ません。,No viene nadie.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""だれ"": 29, ""来る"": 59}",だれも来ませんでした。
N5:2130,descartada,N5,本は机の上にありますから、すぐ見つかります。,"Como el libro está sobre la mesa, se encuentra enseguida.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ある"": 381, ""すぐ"": 33, ""本"": 79, ""机"": 17, ""見つかる"": 5}",本は机の上にあります。
N5:2131,descartada,N5,今夜のご飯はカレーです。,La cena de esta noche es curry.,Lectura incorrecta de ご飯.,"{""ご飯"": 40, ""カレー"": 13, ""今夜"": 15}",祖母はカレーが好きです。
N5:2132,descartada,N5,この店では服が安くて、人気があります。,En esta tienda la ropa es barata y es muy popular.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ある"": 381, ""この"": 796, ""人気"": 18, ""安い"": 52, ""店"": 127, ""服"": 13}",この店ではモノを安く売っています。
N5:2133,aceptada,N5,タクシーを呼びますか。,¿Llamas a un taxi?,Aporta un uso natural de vocabulario poco representado en el banco.,"{""タクシー"": 8, ""呼ぶ"": 4}",タクシーで銀行へ行きます。
N5:2134,descartada,N5,友だちに来月京都へ行くと伝えます。,Le digo a un amigo que iré a Kioto el mes que viene.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""伝える"": 5, ""友だち"": 126, ""来月"": 40, ""行く"": 223}",友だちに森へ行く道を教えました。
N5:2135,descartada,N5,薬は水で飲みます。,La medicina la tomo con agua.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""水"": 36, ""薬"": 40, ""飲む"": 48}",薬は水で飲みますが、お茶では飲みません。
N5:2136,aceptada,N4,本を読むと、すぐ眠くなります。,"Cuando leo un libro, me entra sueño enseguida.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""すぐ"": 33, ""なる"": 125, ""本"": 79, ""眠い"": 3, ""読む"": 71}",この文を読むと、意味がよくわかります。
N5:2137,descartada,N5,会社から森まで歩きます。,Camino desde la oficina hasta el bosque.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""会社"": 70, ""森"": 42, ""歩く"": 38}",駅から家まで歩きます。
N5:2138,descartada,N5,友だちの家で夕食を食べます。,Ceno en casa de un amigo.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""友だち"": 126, ""夕食"": 12, ""家"": 95, ""食べる"": 129}",私も同じく、家で夕食を食べます。
N5:2139,descartada,N5,映画も見ますかね。,"¿También ves películas, me pregunto?",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""映画"": 78, ""見る"": 158}",あー、映画を見るんですか。
N5:2140,aceptada,N4,公園の桜はもう咲いたか、友だちに聞きました。,Le pregunté a un amigo si ya habían florecido los cerezos del parque.,Aporta un uso natural de vocabulario poco representado en el banco.,"{""もう"": 88, ""公園"": 49, ""友だち"": 126, ""咲く"": 2, ""桜"": 2, ""聞く"": 72}",この舞台はもう友だちに見られましたか。
N5:2141,descartada,N5,受付に人はいません。,No hay nadie en recepción.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""いる"": 64, ""人"": 73, ""受付"": 5}",受付にだれもいませんか。
N5:2142,descartada,N5,この機械は軽いから、持ち運びやすい。,"Esta máquina es ligera, así que es fácil de llevar.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""この"": 796, ""持ち運ぶ"": 1, ""機械"": 9, ""軽い"": 3}",この機器は軽くて持ち運びやすいです。
N5:2143,descartada,N5,この町はとても静かだ。,Este pueblo es muy tranquilo.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""この"": 796, ""とても"": 34, ""町"": 54, ""静か"": 47}",この町はとても静かです。
N5:2144,descartada,N5,休日に神社へ行って、お祭りの太鼓を聞きました。,En mi día libre fui al santuario y escuché los tambores del festival.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""休日"": 8, ""太鼓"": 4, ""神社"": 4, ""祭り"": 70, ""聞く"": 72, ""行く"": 223}",日本人にスマホの使い方を聞きました。
N5:2145,aceptada,N5,ドアを閉めてください。,"Cierra la puerta, por favor.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""ドア"": 3, ""閉める"": 13}",お金を貯めてください。
N5:2146,descartada,N5,ここでゲームをしてもいいですよ。,Puedes jugar aquí a un juego.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ここ"": 108, ""する"": 871, ""ゲーム"": 41}",ここでゲームをしてはいけない。
N5:2147,descartada,N5,このお菓子は夜に食べてはいけません。,No debes comer este dulce por la noche.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""お菓子"": 2, ""この"": 796, ""夜"": 14, ""食べる"": 129}",この魚は生で食べてはいけません。
N5:2148,descartada,N5,安くても、今日はこの店ではかばんを買わない。,"Aunque está barato, hoy no voy a comprar un bolso en esta tienda.",Lectura incorrecta de 今日.,"{""かばん"": 41, ""この"": 796, ""今日"": 138, ""安い"": 52, ""店"": 127, ""買う"": 121}",安くないから、このかばんは今日は買わない。
N5:2149,descartada,N5,昨日バスに乗った。,Ayer tomé el autobús.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""バス"": 87, ""乗る"": 24, ""昨日"": 40}",バスに乗るときです。
N5:2150,descartada,N5,今度の休みに海へ行きたい。,En las próximas vacaciones quiero ir al mar.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""今度"": 21, ""休み"": 21, ""海"": 3, ""行く"": 223}",私は今度の休みに海を見に行きたいです。
N5:2151,descartada,N5,少し休みましょうか。,¿Descansamos un poco?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""休む"": 19, ""少し"": 143}",水を飲みましょうか。
N5:2152,descartada,N5,いっしょに駅前の図書館で勉強しませんか。,¿Estudiamos juntos en la biblioteca frente a la estación?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""いっしょ"": 31, ""する"": 871, ""勉強"": 111, ""図書館"": 48, ""駅前"": 9}",いっしょに図書館で日本語を勉強しませんか。
N5:2153,descartada,N5,残業より早帰りのほうがいい。,Salir antes es mejor que hacer horas extra.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""いい"": 70, ""早帰り"": 0, ""残業"": 25}",残業より早く帰るほうがいいです。
N5:2154,descartada,N5,毎日連絡するから、関係がよくなります。,"Como me pongo en contacto cada día, la relación mejora.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""する"": 871, ""なる"": 125, ""よく"": 54, ""毎日"": 74, ""連絡"": 20, ""関係"": 27}",例えば、毎日連絡しすぎると、関係が悪くなることもあります。
N5:2155,descartada,N5,映画の前にご飯を食べて、後で友だちに会います。,Antes de la película como y luego veo a un amigo.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ご飯"": 40, ""会う"": 31, ""前"": 118, ""友だち"": 126, ""後で"": 5, ""映画"": 78, ""食べる"": 129}",旅行の前に切符を買って、後で友だちに会います。
N5:2156,aceptada,N4,もう花は咲きましたが、まだ葉は少ないです。,"Las flores ya han florecido, pero las hojas todavía son pocas.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""まだ"": 85, ""もう"": 88, ""咲く"": 2, ""少ない"": 11, ""花"": 16, ""葉"": 3}",もう宿題は終わりましたか。まだです。
N5:2157,descartada,N5,この店へよく行きますか。,¿Vas a esta tienda a menudo?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""この"": 796, ""よく"": 54, ""店"": 127, ""行く"": 223}",この店はよく混みますか。
N5:2158,descartada,N5,友だちにアプリを三つ送りました。,Le envié tres aplicaciones a un amigo.,Lecturas que no coinciden con el texto y están fuera de orden.,"{""アプリ"": 66, ""三つ"": 14, ""友だち"": 126, ""送る"": 20}",友だちにメールを三通送りました。
N5:2159,descartada,N5,だれが来たのですか。だれも来ませんでした。,¿Quién vino? No vino nadie.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""だれ"": 29, ""来る"": 59}",だれも来ませんでした。
N5:2160,aceptada,N3,日本の祭りでは、神社の前に屋台が並び、夜になるととてもにぎやかになる。,"En los festivales japoneses, los puestos se alinean delante del santuario y por la noche se anima mucho.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""とても"": 34, ""なる"": 125, ""にぎやか"": 3, ""並ぶ"": 2, ""前"": 118, ""夜"": 14, ""屋台"": 0, ""神社"": 4, ""祭り"": 70}",日本の祭りの音楽はとてもにぎやかです。
N5:2161,descartada,N5,今日はスーパーで牛乳を買います。,Hoy voy a comprar leche en el supermercado.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""スーパー"": 26, ""今日"": 138, ""牛乳"": 6, ""買う"": 121}",スーパーに着いたら牛乳を買います。
N5:2162,aceptada,N3,うちでは猫が窓辺で寝ています。,"En casa, el gato está durmiendo junto a la ventana.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""うち"": 37, ""寝る"": 16, ""猫"": 7, ""窓辺"": 1}",うちには猫がいます。
N5:2163,descartada,N5,朝ごはんにパンを食べますか。,¿Comes pan en el desayuno?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ごはん"": 15, ""パン"": 28, ""朝"": 40, ""食べる"": 129}",晩ごはんに何を食べますか。
N5:2164,descartada,N5,明日友だちとデパートへ靴を買いに行きます。,Mañana voy con un amigo a los grandes almacenes a comprar zapatos.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""デパート"": 12, ""友だち"": 126, ""明日"": 36, ""行く"": 223, ""買う"": 121, ""靴"": 26}",明日、駅前の店へ友だちにプレゼントを買いに行きます。
N5:2165,descartada,N5,電車ではありません。,No es en tren.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ある"": 381, ""電車"": 91}",法律ではありません。
N5:2166,descartada,N5,友だちと行くと安心です。,"Cuando voy con un amigo, me quedo tranquilo.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""友だち"": 126, ""安心"": 25, ""行く"": 223}",友だちと行くから、安いです。
N5:2167,descartada,N5,朝から夜までスマホを見ます。,Miro el móvil desde la mañana hasta la noche.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""スマホ"": 51, ""夜"": 14, ""朝"": 40, ""見る"": 158}",朝から夜までスマホを使います。
