Word_ID,Word,Reading,Meaning_EN,Concept_ID,Concept_Label,Concept_Members,Web_Rank,Web_Percentile,Dialogue_Count,Dialogue_Score,Dialogue_Evidence,Context_Families,Context_Dispersion,Register_Dispersion,Composite_Score,Composite_Rank,Composite_Percentile,Composite_JLPT
V01077,治療,ちりょう,medical treatment,lexeme.V01077,medical treatment,治療,1077,10.76,1452,63.18,direct,Conocimiento y consultas,50.0,51.5,53.7471,402,4.18,N5
V01078,ぜひ,ぜひ,please,lexeme.V01078,please,ぜひ,1078,10.77,0,35.67,web_prior,,50.0,38.69,39.4466,2067,21.52,N4
V01079,それでも,それでも,nevertheless,lexeme.V01079,nevertheless,それでも,1079,10.78,0,35.66,web_prior,Ocio y vida diaria,50.0,38.68,39.4367,2071,21.56,N4
V01080,電子,でんし,electron,lexeme.V01080,electron,電子,1080,10.79,327,50.26,direct,Ocio y vida diaria,50.0,45.92,47.0927,946,9.84,N5
V01081,小説,しょうせつ,novel,lexeme.V01081,novel,小説,1081,10.8,344,50.7,direct,Ocio y vida diaria,50.0,46.11,47.3146,918,9.55,N5
V01082,箸,はし,chopsticks,lexeme.V01082,chopsticks,箸,1082,10.81,0,35.64,web_prior,,50.0,38.66,39.4139,2074,21.59,N4
V01083,死,し,death,lexeme.V01083,death,死,1083,10.82,19457,85.69,direct,,50.0,59.93,65.1231,88,0.91,N5
V01084,注目,ちゅうもく,notice,lexeme.V01084,notice,注目,1084,10.83,515,54.19,direct,Ocio y vida diaria,50.0,47.65,49.1067,741,7.71,N5
V01085,食事,しょくじ,meal,lexeme.V01085,meal,食事,1085,10.84,1170,61.3,direct,Conocimiento y consultas|Ocio y vida diaria,47.68,50.68,52.5293,473,4.92,N5
V01086,維持,いじ,maintenance,lexeme.V01086,maintenance,維持,1086,10.85,581,55.24,direct,Ocio y vida diaria,50.0,48.09,49.6337,692,7.2,N5
V01087,ほぼ,ほぼ,Almost,lexeme.V01087,Almost,ほぼ,1087,10.86,0,35.59,web_prior,Ocio y vida diaria,50.0,38.61,39.3696,2080,21.66,N4
V01088,文,ぶん,sentence,form.0fe3d8eb0900,sentence,文|ぶん,1088,10.87,146,43.3,direct,Trabajo y carrera|Conocimiento y consultas|Ocio y vida diaria|Dinero y proyectos,88.79,43.33,47.87,858,8.93,N5
V01089,範囲,はんい,extent,lexeme.V01089,extent,範囲,1089,10.88,0,35.58,web_prior,Ocio y vida diaria|Conocimiento y consultas,50.0,38.59,39.3581,2083,21.69,N4
V01090,コラム,コラム,column,lexeme.V01090,column,コラム,1090,10.89,0,35.58,web_prior,Ocio y vida diaria,50.0,38.59,39.3581,2084,21.7,N4
V01091,まとめる,まとめる,Summarize,lexeme.V01091,Summarize,まとめる,1091,10.9,0,35.58,web_prior,,50.0,38.59,39.3552,2086,21.72,N4
V01092,常に,つねに,always,form.a2ae05bcb5af,always,常に|つねに,1092,10.91,0,36.33,web_prior,Trabajo y carrera,50.0,39.4,40.0785,1945,20.25,N4
V01093,著作,ちょさく,writing,lexeme.V01093,writing,著作,1093,10.92,25,28.27,direct,Ocio y vida diaria,50.0,34.39,35.4325,3000,31.24,N3
V01094,表,ひょう,table,lexeme.V01094,table,表,1094,10.93,627,55.9,direct,,50.0,48.36,49.9581,660,6.86,N5
V01095,ものの,ものの,Although,lexeme.V01095,Although,ものの,1095,10.94,0,35.55,web_prior,Conocimiento y consultas,50.0,38.56,39.3294,2093,21.79,N4
V01096,いっぱい,いっぱい,full,lexeme.V01096,full,いっぱい,1096,10.95,0,35.54,web_prior,Ocio y vida diaria,50.0,38.55,39.3207,2096,21.82,N4
V01097,失う,うしなう,lose,lexeme.V01097,lose,失う,1097,10.96,0,35.53,web_prior,,50.0,38.54,39.3106,2100,21.86,N4
V01098,夫,おっと,husband,family.husband,marido,夫|主人|旦那,1098,10.97,1291,62.16,direct,,50.0,54.23,55.2973,333,3.46,N5
V01099,理論,りろん,theory,lexeme.V01099,theory,理論,1099,10.98,388,51.74,direct,Ocio y vida diaria,50.0,46.5,47.7957,866,9.01,N5
V01100,秒,びょう,seconds,lexeme.V01100,seconds,秒,1100,10.99,0,35.52,web_prior,,50.0,38.52,39.2962,2103,21.9,N4
V01101,日常,にちじょう,ordinary,lexeme.V01101,ordinary,日常,1101,11.0,189,45.53,direct,Trabajo y carrera,50.0,43.61,44.5642,1261,13.12,N4
V01102,イラク,イラク,Iraq,lexeme.V01102,Iraq,イラク,1102,11.01,0,35.52,web_prior,Trabajo y carrera,50.0,38.52,39.2947,2104,21.91,N4
V01103,業者,ぎょうしゃ,trader,lexeme.V01103,trader,業者,1103,11.02,148,43.42,direct,Trabajo y carrera,50.0,42.59,43.4584,1412,14.7,N4
V01104,回答,かいとう,reply,lexeme.V01104,reply,回答,1104,11.03,91,39.23,direct,Trabajo y carrera,50.0,40.48,41.2597,1726,17.97,N4
V01105,体制,たいせい,order,lexeme.V01105,order,体制,1105,11.04,208,46.35,direct,Trabajo y carrera,50.0,44.0,44.9854,1198,12.47,N4
V01106,調整,ちょうせい,regulation,lexeme.V01106,regulation,調整,1106,11.05,340,50.6,direct,Trabajo y carrera,50.0,45.94,47.1763,936,9.74,N5
V01107,訴訟,そしょう,litigation,lexeme.V01107,litigation,訴訟,1107,11.06,0,35.46,web_prior,Conocimiento y consultas,50.0,38.46,39.2382,2113,22.0,N4
V01108,階,かい,Floor,lexeme.V01108,Floor,階,1108,11.07,0,35.45,web_prior,Ocio y vida diaria,50.0,38.45,39.2352,2114,22.01,N4
V01109,酒,さけ,Alcohol,lexeme.V01109,Alcohol,酒,1109,11.08,0,35.45,web_prior,Ocio y vida diaria,50.0,38.45,39.2309,2115,22.02,N4
V01110,やめる,やめる,stop,lexeme.V01110,stop,やめる,1110,11.09,0,35.44,web_prior,,50.0,38.44,39.2221,2118,22.05,N4
V01111,住民,じゅうみん,citizens,lexeme.V01111,citizens,住民,1111,11.1,252,48.01,direct,Conocimiento y consultas,50.0,44.74,45.8241,1095,11.4,N4
V01112,はじめ,はじめ,beginning,form.b2c83cf75437,beginning,はじめ|初め|始め,1112,11.11,4717,73.4,direct,Ocio y vida diaria|Dinero y proyectos|Conocimiento y consultas,71.33,59.08,63.2933,110,1.14,N5
V01113,疑問,ぎもん,question,lexeme.V01113,question,疑問,1113,11.12,615,55.73,direct,Conocimiento y consultas,50.0,48.19,49.8105,671,6.98,N5
V01114,当たる,あたる,hit,form.8a2f4c00b46b,hit,当たる|あたる|当る,1114,11.13,1,6.01,direct,,50.0,16.54,23.8274,6863,71.48,N2
V01115,失敗,しっぱい,failure,lexeme.V01115,failure,失敗,1115,11.14,0,35.39,web_prior,Conocimiento y consultas|Trabajo y carrera,50.0,38.39,39.1753,2126,22.14,N4
V01116,落ちる,おちる,drop down,lexeme.V01116,drop down,落ちる,1116,11.15,0,35.39,web_prior,,50.0,38.38,39.1724,2127,22.15,N4
V01117,繰り返す,くりかえす,repeat,lexeme.V01117,repeat,繰り返す,1117,11.16,0,35.38,web_prior,Ocio y vida diaria,50.0,38.37,39.1636,2128,22.16,N4
V01118,島,しま,island,form.3c017150161b,island,島|しま,1118,11.17,1493,63.42,direct,Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera|Familia y amigos|Dinero y proyectos,90.02,53.03,58.7989,212,2.2,N5
V01119,息子,むすこ,son,family.son,hijo varon,息子|男の子,1119,11.18,5674,75.0,direct,Ocio y vida diaria,50.0,57.56,60.6388,167,1.73,N5
V01120,資本,しほん,funds,lexeme.V01120,funds,資本,1120,11.19,60,35.67,direct,Ocio y vida diaria,50.0,38.51,39.2991,2101,21.88,N4
V01121,事情,じじょう,circumstances,lexeme.V01121,circumstances,事情,1121,11.2,562,54.95,direct,Ocio y vida diaria,50.0,47.79,49.3655,716,7.45,N5
V01122,応援,おうえん,aid,lexeme.V01122,aid,応援,1122,11.21,390,51.79,direct,Ocio y vida diaria,50.0,46.39,47.7265,872,9.07,N5
V01123,コース,コース,course,lexeme.V01123,course,コース,1123,11.22,0,35.32,web_prior,Ocio y vida diaria,50.0,38.3,39.1017,2140,22.28,N4
V01124,感想,かんそう,impressions,lexeme.V01124,impressions,感想,1124,11.23,129,42.23,direct,Ocio y vida diaria,50.0,41.88,42.7477,1503,15.65,N4
V01125,届く,とどく,reach,lexeme.V01125,reach,届く,1125,11.24,0,35.3,web_prior,,50.0,38.29,39.0884,2143,22.31,N4
V01126,解説,かいせつ,explanation,lexeme.V01126,explanation,解説,1126,11.25,43,32.83,direct,Ocio y vida diaria,50.0,36.93,37.7728,2419,25.19,N4
V01127,行なう,おこなう,carry out,lexeme.V01127,carry out,行なう,1127,11.26,0,35.3,web_prior,,50.0,38.28,39.0839,2144,22.32,N4
V01128,妻,つま,wife,family.wife,esposa,妻|奥さん|家内,1128,11.27,120,41.61,direct,,50.0,43.27,43.7163,1379,14.35,N4
V01129,シリーズ,シリーズ,series,lexeme.V01129,series,シリーズ,1129,11.28,0,35.29,web_prior,Ocio y vida diaria,50.0,38.27,39.0735,2146,22.34,N4
V01130,客,きゃく,Customer,lexeme.V01130,Customer,客,1130,11.29,1828,65.17,direct,Dinero y proyectos,50.0,52.0,54.5737,365,3.79,N5
V01131,公共,こうきょう,public,lexeme.V01131,public,公共,1131,11.3,130,42.3,direct,Ocio y vida diaria,50.0,41.89,42.7622,1502,15.64,N4
V01132,民間,みんかん,private,lexeme.V01132,private,民間,1132,11.31,361,51.12,direct,Ocio y vida diaria,50.0,46.05,47.3542,909,9.46,N5
V01133,イタリア,イタリア,Italy,lexeme.V01133,Italy,イタリア,1133,11.32,364,51.19,direct,Trabajo y carrera,50.0,46.08,47.3905,905,9.42,N5
V01134,弁護士,べんごし,lawyer,lexeme.V01134,lawyer,弁護士,1134,11.33,0,35.23,web_prior,Trabajo y carrera,50.0,38.22,39.0229,2154,22.43,N4
V01135,なす,なす,eggplant,lexeme.V01135,eggplant,なす,1135,11.34,0,35.23,web_prior,Conocimiento y consultas,50.0,38.21,39.0169,2156,22.45,N4
V01136,裁判,さいばん,trial,lexeme.V01136,trial,裁判,1136,11.35,1553,63.76,direct,,50.0,51.39,53.8289,393,4.08,N5
V01137,古い,ふるい,old,lexeme.V01137,old,古い,1137,11.36,0,35.2,web_prior,Conocimiento y consultas|Ocio y vida diaria|Dinero y proyectos,71.03,38.18,41.0959,1757,18.29,N4
V01138,建物,たてもの,building,lexeme.V01138,building,建物,1138,11.37,833,58.36,direct,Conocimiento y consultas,50.0,49.16,51.0603,586,6.09,N5
V01139,集まる,あつまる,get together,lexeme.V01139,get together,集まる,1139,11.38,0,35.19,web_prior,,50.0,38.17,38.981,2162,22.51,N4
V01140,対,たい,versus,lexeme.V01140,versus,対,1140,11.39,2375,67.44,direct,,50.0,52.84,55.6954,312,3.24,N5
V01141,省,しょう,Ministry,lexeme.V01141,Ministry,省,1141,11.4,615,55.73,direct,,50.0,48.03,49.7022,685,7.12,N5
V01142,措置,そち,measure,lexeme.V01142,measure,措置,1142,11.41,117,41.39,direct,Trabajo y carrera,50.0,41.39,42.2543,1576,16.41,N4
V01143,組合,くみあい,association,lexeme.V01143,association,組合,1143,11.42,157,43.93,direct,Trabajo y carrera,50.0,42.63,43.5736,1397,14.54,N4
V01144,に対し,にたいし,whereas,lexeme.V01144,whereas,に対し,1144,11.43,0,35.17,web_prior,Trabajo y carrera,50.0,38.14,38.9584,2165,22.54,N4
V01145,父,ちち,father,family.father,padre / papa,父|父親|お父さん|パパ,1145,11.44,2655,68.41,direct,Familia y amigos|Trabajo y carrera,46.02,58.35,59.0685,204,2.11,N5
V01146,払う,はらう,pay,lexeme.V01146,pay,払う,1146,11.45,0,35.16,web_prior,Conocimiento y consultas,50.0,38.14,38.9509,2167,22.56,N4
V01147,本来,ほんらい,originally,lexeme.V01147,originally,本来,1147,11.46,196,45.84,direct,Conocimiento y consultas,50.0,43.53,44.5582,1262,13.14,N4
V01148,元気,げんき,health,lexeme.V01148,health,元気,1148,11.47,2701,68.56,direct,Ocio y vida diaria|Trabajo y carrera,47.68,53.23,56.0056,305,3.17,N5
V01149,一体,いったい,...the heck,lexeme.V01149,...the heck,一体,1149,11.48,2453,67.72,direct,Conocimiento y consultas,50.0,52.9,55.806,310,3.22,N5
V01150,宇宙,うちゅう,universe,lexeme.V01150,universe,宇宙,1150,11.49,0,35.12,web_prior,Trabajo y carrera,50.0,38.09,38.9117,2173,22.62,N4
V01151,申す,もうす,I say,lexeme.V01151,I say,申す,1151,11.5,0,35.1,web_prior,,50.0,38.07,38.8965,2177,22.67,N4
V01152,図,ず,figure,lexeme.V01152,figure,図,1152,11.51,0,35.1,web_prior,,50.0,38.07,38.8935,2178,22.68,N4
V01153,引く,ひく,Pull,form.8589157d41c6,Pull,引く|ひく,1153,11.52,0,37.22,web_prior,,50.0,40.37,40.9419,1794,18.68,N4
V01154,クラブ,クラブ,club,lexeme.V01154,club,クラブ,1154,11.53,0,35.09,web_prior,Conocimiento y consultas,50.0,38.06,38.8829,2181,22.71,N4
V01155,タイトル,タイトル,title,lexeme.V01155,title,タイトル,1155,11.54,0,35.09,web_prior,Ocio y vida diaria,50.0,38.06,38.8813,2182,22.72,N4
V01156,作,さく,Made by,lexeme.V01156,Made by,作,1156,11.55,5293,74.4,direct,Ocio y vida diaria|Trabajo y carrera|Familia y amigos,75.22,55.41,61.6931,146,1.51,N5
V01157,用いる,もちいる,Use,lexeme.V01157,Use,用いる,1157,11.56,0,35.06,web_prior,,50.0,38.03,38.8585,2185,22.75,N4
V01158,番,ばん,No.,lexeme.V01158,No.,番,1158,11.57,2767,68.77,direct,,50.0,53.25,56.3062,292,3.03,N5
V01159,お客様,おきゃくさま,customer,lexeme.V01159,customer,お客様,1159,11.58,0,35.05,web_prior,Dinero y proyectos|Trabajo y carrera,50.0,38.02,38.8479,2188,22.78,N4
V01160,採用,さいよう,use,lexeme.V01160,use,採用,1160,11.59,181,45.15,direct,Ocio y vida diaria,50.0,43.14,44.1578,1327,13.81,N4
V01161,しばらく,しばらく,for a while,form.0ba3bdca17c9,for a while,しばらく|暫く,1161,11.6,0,35.81,web_prior,Conocimiento y consultas,50.0,38.84,39.5819,2041,21.25,N4
V01162,二つ,ふたつ,two,form.adba4222eba2,two,二つ|ふたつ,1162,11.61,0,36.05,web_prior,Ocio y vida diaria,50.0,39.1,39.8067,1993,20.75,N4
V01163,観光,かんこう,sightseeing,lexeme.V01163,sightseeing,観光,1163,11.62,153,43.7,direct,Ocio y vida diaria,10.0,42.43,39.3875,2076,21.61,N4
V01164,提出,ていしゅつ,to present,lexeme.V01164,to present,提出,1164,11.63,240,47.59,direct,Conocimiento y consultas|Trabajo y carrera,47.68,44.27,45.1814,1183,12.31,N4
V01165,以来,いらい,since,lexeme.V01165,since,以来,1165,11.64,946,59.46,direct,Ocio y vida diaria,50.0,49.49,51.5357,551,5.73,N5
V01166,推進,すいしん,propulsion,lexeme.V01166,propulsion,推進,1166,11.65,92,39.33,direct,Conocimiento y consultas,50.0,40.24,41.0864,1760,18.32,N4
V01167,首相,しゅしょう,Prime Minister,lexeme.V01167,Prime Minister,首相,1167,11.66,0,35.0,web_prior,Conocimiento y consultas,50.0,37.96,38.7974,2194,22.84,N4
V01168,業,ごう,business,lexeme.V01168,business,業,1168,11.67,335,50.47,direct,,50.0,45.57,46.893,967,10.06,N4
V01169,向け,むけ,for,lexeme.V01169,for,向け,1169,11.68,1067,60.51,direct,Ocio y vida diaria,50.0,49.9,52.0562,503,5.23,N5
V01170,確保,かくほ,guarantee,lexeme.V01170,guarantee,確保,1170,11.69,677,56.56,direct,Conocimiento y consultas,50.0,48.24,50.034,655,6.81,N5
V01171,動物,どうぶつ,animal,lexeme.V01171,animal,動物,1171,11.7,1312,62.3,direct,Conocimiento y consultas,50.0,50.63,52.9725,441,4.58,N5
V01172,集める,あつめる,collect,lexeme.V01172,collect,集める,1172,11.71,0,34.97,web_prior,,50.0,37.94,38.7728,2199,22.9,N4
V01173,離れる,はなれる,leave,lexeme.V01173,leave,離れる,1173,11.72,0,34.97,web_prior,,50.0,37.93,38.7713,2200,22.91,N4
V01174,ただし,ただし,however,form.2fb35d001f00,however,ただし|但し,1174,11.73,0,36.45,web_prior,Trabajo y carrera,50.0,39.53,40.1949,1926,20.05,N4
V01175,検査,けんさ,inspection,lexeme.V01175,inspection,検査,1175,11.74,1187,61.43,direct,Conocimiento y consultas,10.0,50.27,48.5222,792,8.24,N5
V01176,映像,えいぞう,reflection,lexeme.V01176,reflection,映像,1176,11.75,1032,60.22,direct,Ocio y vida diaria,50.0,49.77,51.9016,520,5.41,N5
V01177,信頼,しんらい,reliance,lexeme.V01177,reliance,信頼,1177,11.76,1692,64.5,direct,Ocio y vida diaria,50.0,51.5,54.0857,385,4.0,N5
V01178,要素,ようそ,component,lexeme.V01178,component,要素,1178,11.77,126,42.03,direct,Ocio y vida diaria,50.0,41.57,42.4823,1539,16.02,N4
V01179,触れる,ふれる,touch,form.c743be3a07ee,touch,触れる|ふれる,1179,11.78,0,35.85,web_prior,,50.0,38.89,39.6223,2032,21.16,N4
V01180,笑う,わらう,smile,lexeme.V01180,smile,笑う,1180,11.79,0,34.94,web_prior,,50.0,37.9,38.7389,2210,23.01,N4
V01181,どんどん,どんどん,More and more,lexeme.V01181,More and more,どんどん,1181,11.8,0,34.93,web_prior,Trabajo y carrera,50.0,37.89,38.7281,2211,23.02,N4
V01182,世,よ,world,lexeme.V01182,world,世,1182,11.81,263,48.38,direct,,50.0,44.59,45.786,1098,11.43,N4
V01183,コスト,コスト,cost,lexeme.V01183,cost,コスト,1183,11.82,0,34.92,web_prior,Ocio y vida diaria,50.0,37.88,38.7219,2212,23.03,N4
V01184,人物,じんぶつ,character,lexeme.V01184,character,人物,1184,11.83,1588,63.95,direct,Trabajo y carrera,50.0,51.24,53.7792,398,4.14,N5
V01185,規制,きせい,regulation,lexeme.V01185,regulation,規制,1185,11.84,105,40.46,direct,Ocio y vida diaria,50.0,40.74,41.6238,1663,17.31,N4
V01186,空間,くうかん,space,lexeme.V01186,space,空間,1186,11.85,219,46.8,direct,Conocimiento y consultas,50.0,43.81,44.9322,1207,12.56,N4
V01187,記念,きねん,commemoration,lexeme.V01187,commemoration,記念,1187,11.86,472,53.44,direct,Ocio y vida diaria,50.0,46.8,48.3637,810,8.43,N5
V01188,方針,ほうしん,objective,lexeme.V01188,objective,方針,1188,11.87,0,34.83,web_prior,Conocimiento y consultas,50.0,37.77,38.6301,2228,23.2,N4
V01189,もらえる,もらえる,receive,lexeme.V01189,receive,もらえる,1189,11.88,0,34.83,web_prior,Dinero y proyectos|Conocimiento y consultas,50.0,37.77,38.6285,2229,23.21,N4
V01190,よろしい,よろしい,Okay.,lexeme.V01190,Okay.,よろしい,1190,11.89,0,34.82,web_prior,Trabajo y carrera,50.0,37.77,38.6223,2233,23.25,N4
V01191,もっとも,もっとも,Although,lexeme.V01191,Although,もっとも,1191,11.9,0,34.82,web_prior,Ocio y vida diaria,50.0,37.76,38.6207,2234,23.26,N4
V01192,役,やく,Role,lexeme.V01192,Role,役,1192,11.91,2141,66.54,direct,Trabajo y carrera,50.0,52.21,55.0647,348,3.61,N5
V01193,右,みぎ,right,lexeme.V01193,right,右,1193,11.92,0,34.81,web_prior,Ocio y vida diaria|Dinero y proyectos,47.68,37.76,38.386,2280,23.74,N4
V01194,楽しみ,たのしみ,fun,lexeme.V01194,fun,楽しみ,1194,11.93,988,59.84,direct,Conocimiento y consultas|Ocio y vida diaria,50.0,49.5,51.6357,542,5.64,N5
V01195,審議,しんぎ,deliberation,lexeme.V01195,deliberation,審議,1195,11.94,93,39.42,direct,Conocimiento y consultas,50.0,40.17,41.0477,1772,18.45,N4
V01196,競争,きょうそう,competition,lexeme.V01196,competition,競争,1196,11.95,251,47.98,direct,Ocio y vida diaria,50.0,44.32,45.5192,1140,11.86,N4
V01197,設置,せっち,establishment,lexeme.V01197,establishment,設置,1197,11.96,201,46.06,direct,Conocimiento y consultas,50.0,43.42,44.517,1270,13.22,N4
V01198,位置,いち,place,lexeme.V01198,place,位置,1198,11.97,952,59.52,direct,Ocio y vida diaria,50.0,49.35,51.4642,554,5.76,N5
V01199,テスト,テスト,test,lexeme.V01199,test,テスト,1199,11.98,0,34.78,web_prior,Ocio y vida diaria,50.0,37.72,38.583,2241,23.33,N4
V01200,全然,ぜんぜん,not at all,form.49ba6c667e7b,not at all,全然|ぜんぜん,1200,11.99,1436,63.08,direct,Ocio y vida diaria,50.0,51.63,53.8089,395,4.1,N5
V01201,費用,ひよう,cost,lexeme.V01201,cost,費用,1201,12.0,218,46.76,direct,Dinero y proyectos,50.0,43.73,44.8688,1219,12.69,N4
V01202,株式会社,かぶしきがいしゃ,"Co., Ltd.",lexeme.V01202,"Co., Ltd.",株式会社,1202,12.01,0,34.75,web_prior,Trabajo y carrera,50.0,37.7,38.5594,2247,23.4,N4
V01203,席,せき,seat,lexeme.V01203,seat,席,1203,12.02,0,34.75,web_prior,Ocio y vida diaria|Trabajo y carrera,47.68,37.69,38.3263,2294,23.89,N4
V01204,観,かん,View,lexeme.V01204,View,観,1204,12.03,556,54.86,direct,,50.0,47.36,49.0553,745,7.75,N5
V01205,大統領,だいとうりょう,president,lexeme.V01205,president,大統領,1205,12.04,2406,67.56,direct,Ocio y vida diaria,50.0,52.55,55.5468,324,3.36,N5
V01206,指定,してい,designation,lexeme.V01206,designation,指定,1206,12.05,112,41.02,direct,Ocio y vida diaria,50.0,40.94,41.8586,1629,16.96,N4
V01207,事務所,じむしょ,office,lexeme.V01207,office,事務所,1207,12.06,0,34.71,web_prior,Trabajo y carrera|Conocimiento y consultas,50.0,37.65,38.5151,2253,23.46,N4
V01208,感情,かんじょう,emotion,lexeme.V01208,emotion,感情,1208,12.07,1095,60.73,direct,Ocio y vida diaria,50.0,49.78,52.0338,505,5.25,N5
V01209,付く,つく,Attach,lexeme.V01209,Attach,付く,1209,12.08,0,34.68,web_prior,,50.0,37.61,38.4849,2263,23.56,N4
V01210,さまざま,さまざま,various,lexeme.V01210,various,さまざま,1210,12.09,0,34.66,web_prior,Ocio y vida diaria,50.0,37.59,38.469,2264,23.57,N4
V01211,京都,きょうと,Kyoto,lexeme.V01211,Kyoto,京都,1211,12.1,16,24.58,direct,Ocio y vida diaria|Conocimiento y consultas,48.51,31.66,32.8922,3727,38.81,N3
V01212,ランキング,ランキング,Ranking,lexeme.V01212,Ranking,ランキング,1212,12.11,0,34.65,web_prior,Ocio y vida diaria,50.0,37.58,38.4562,2267,23.6,N4
V01213,といった,といった,such as,lexeme.V01213,such as,といった,1213,12.12,0,34.63,web_prior,Ocio y vida diaria,50.0,37.57,38.4434,2268,23.61,N4
V01214,かかわる,かかわる,involved,lexeme.V01214,involved,かかわる,1214,12.13,0,34.63,web_prior,Trabajo y carrera,50.0,37.56,38.4402,2269,23.62,N4
V01215,さすが,さすが,As expected,lexeme.V01215,As expected,さすが,1215,12.14,0,34.6,web_prior,Conocimiento y consultas,50.0,37.53,38.4114,2272,23.66,N4
V01216,許す,ゆるす,forgive,lexeme.V01216,forgive,許す,1216,12.15,0,34.6,web_prior,Trabajo y carrera,50.0,37.53,38.4114,2273,23.67,N4
V01217,空,そら,sky,lexeme.V01217,sky,空,1217,12.16,1525,63.6,direct,Conocimiento y consultas,50.0,50.88,53.4646,411,4.27,N5
V01218,関わる,かかわる,get involved,lexeme.V01218,get involved,関わる,1218,12.17,0,34.58,web_prior,,50.0,37.51,38.3905,2278,23.72,N4
V01219,起こす,おこす,wake up,lexeme.V01219,wake up,起こす,1219,12.18,1,6.01,direct,Conocimiento y consultas,50.0,15.64,22.2568,7542,78.55,N2
V01220,仲間,なかま,company,lexeme.V01220,company,仲間,1220,12.19,3777,71.47,direct,Trabajo y carrera,50.0,53.92,57.4521,247,2.56,N5
V01221,メッセージ,メッセージ,message,lexeme.V01221,message,メッセージ,1221,12.2,0,34.58,web_prior,Conocimiento y consultas,50.0,37.5,38.3873,2279,23.73,N4
V01222,迎える,むかえる,welcome,lexeme.V01222,welcome,迎える,1222,12.21,0,34.57,web_prior,,50.0,37.49,38.3776,2283,23.77,N4
V01223,整理,せいり,sorting,lexeme.V01223,sorting,整理,1223,12.22,273,48.7,direct,Conocimiento y consultas|Trabajo y carrera|Ocio y vida diaria,70.75,44.5,47.8606,861,8.96,N5
V01224,協会,きょうかい,association,lexeme.V01224,association,協会,1224,12.23,110,40.86,direct,Ocio y vida diaria,50.0,40.75,41.6955,1656,17.24,N4
V01225,モノ,モノ,mono,lexeme.V01225,mono,モノ,1225,12.24,0,34.54,web_prior,Conocimiento y consultas,50.0,37.47,38.3566,2286,23.8,N4
V01226,官,かん,Government,lexeme.V01226,Government,官,1226,12.25,0,34.54,web_prior,,50.0,37.46,38.3518,2287,23.81,N4
V01227,至る,いたる,arrive,lexeme.V01227,arrive,至る,1227,12.26,0,34.54,web_prior,,50.0,37.46,38.3502,2288,23.82,N4
V01228,ロシア,ロシア,Russia,lexeme.V01228,Russia,ロシア,1228,12.27,965,59.64,direct,Ocio y vida diaria,50.0,49.22,51.4029,559,5.81,N5
V01229,多数,たすう,great number,lexeme.V01229,great number,多数,1229,12.28,215,46.64,direct,Ocio y vida diaria,50.0,43.52,44.7007,1243,12.94,N4
V01230,デジタル,デジタル,digital,lexeme.V01230,digital,デジタル,1230,12.29,0,34.51,web_prior,Trabajo y carrera,50.0,37.43,38.3242,2295,23.9,N4
V01231,耳,みみ,ear,lexeme.V01231,ear,耳,1231,12.3,0,34.5,web_prior,,50.0,37.42,38.3178,2298,23.93,N4
V01232,積極,せっきょく,positive,lexeme.V01232,positive,積極,1232,12.31,100,40.04,direct,Ocio y vida diaria,50.0,40.32,41.2439,1730,18.01,N4
V01233,かつ,かつ,and,form.782499c62569,and,かつ|且つ,1233,12.32,0,35.33,web_prior,,50.0,38.32,39.112,2136,22.24,N4
V01234,願う,ねがう,I hope,lexeme.V01234,I hope,願う,1234,12.33,0,34.49,web_prior,,50.0,37.41,38.308,2301,23.96,N4
V01235,安心,あんしん,relief,lexeme.V01235,relief,安心,1235,12.34,880,58.84,direct,Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera|Dinero y proyectos,88.92,48.86,54.8672,357,3.71,N5
V01236,ダメ,ダメ,No,lexeme.V01236,No,ダメ,1236,12.35,0,34.47,web_prior,Ocio y vida diaria,50.0,37.39,38.2869,2305,24.0,N4
V01237,独立,どくりつ,independence,lexeme.V01237,independence,独立,1237,12.36,168,44.51,direct,Familia y amigos,50.0,42.49,43.5679,1402,14.59,N4
V01238,イン,イン,in,lexeme.V01238,in,イン,1238,12.37,0,34.47,web_prior,,50.0,37.39,38.2852,2306,24.01,N4
V01239,読者,どくしゃ,reader,lexeme.V01239,reader,読者,1239,12.38,62,35.95,direct,Ocio y vida diaria,50.0,38.18,39.0673,2147,22.35,N4
V01240,勝つ,かつ,win,lexeme.V01240,win,勝つ,1240,12.39,0,34.46,web_prior,,50.0,37.38,38.2771,2307,24.02,N4
V01241,ぶり,ぶり,Yellowtail,lexeme.V01241,Yellowtail,ぶり,1241,12.4,0,34.46,web_prior,,50.0,37.37,38.2722,2309,24.04,N4
V01242,雇用,こよう,employment,lexeme.V01242,employment,雇用,1242,12.41,155,43.82,direct,Trabajo y carrera,50.0,42.14,43.1979,1447,15.06,N4
V01243,なに,なに,what,form.06e30a9671d0,what,何|なに,1243,12.42,101249,100.0,direct,Ocio y vida diaria|Trabajo y carrera|Dinero y proyectos|Familia y amigos|Conocimiento y consultas,93.16,83.8,87.9549,2,0.01,N5
V01244,傾向,けいこう,tendency,lexeme.V01244,tendency,傾向,1244,12.43,120,41.61,direct,Ocio y vida diaria,50.0,41.05,42.0314,1608,16.74,N4
